id	fin_name	eng_name	category	word_class	aaltoprod	aalto85	cslb	mcrae	vinson	cmu	w2v_fin	w2v_eng	homonym_fin	homonym_eng	action_words	COMMENT
1073	maalaus	painting	tool	noun	maalaus					painting	maalaus	painting			0	
1074	palatsi	palace	building	noun	palatsi						palatsi	palace			0	
1079	pantteri	panther	animal	noun	pantteri		panther	panther			pantteri	panther			0	
1081	paperi	paper	material	noun	paperi					paper	paperi	paper			0	
1085	seurakunta	parish	abstract_mid	noun	seurakunta						seura#kunta	parish			0	
1086	puisto	park	nature	noun	puisto	puisto				park	puisto	park			0	
1091	juhla	party	abstract_mid	noun	juhla					party	juhla	party			0	
1094	potilas	patient	human	noun	potilas						potilas	patient			0	
1099	persikka	peach	fruit	noun	persikka		peach	peach	PEACH_object	peach	persikka	peach			0	
1102	päärynä	pear	fruit	noun	päärynä		pear	pear	PEAR_object	pear	päärynä	pear			0	
1122	ilmiö	phenomenon	abstract_high	noun	ilmiö	ilmiö					ilmiö	phenomenon			0	typo in the Finnish translation
1123	filosofi	philosopher	human	noun	filosofi						filosofi	philosopher			0	
1127	lääkäri	physician	human	noun	lääkäri	lääkäri					lääkäri	physician			0	
1131	kuva	picture	text	noun	kuva						kuva	picture			0	
1134	sika	pig	animal	noun	sika		pig	pig	PIG_object	pig	sika	pig			0	
1140	ananas	pineapple	fruit	noun	ananas		pineapple	pineapple	PINEAPPLE_object	pineapple	ananas	pineapple			0	
1156	leikki	game	abstract_mid	noun	leikki	leikki					leikki	game			0	
1157	näytelmä	play	abstract_mid	noun	näytelmä	näytelmä					näytelmä	play			0	
1158	pelaaja	player	human	noun	pelaaja						pelaaja	player			0	
1162	pihdit	pliers	tool	noun	pihdit		pliers	pliers	PLIERS_object	pliers	pihdit	pliers			0	
1168	runo	poem	abstract_mid	noun	runo	runo					runo	poem			0	
1171	poliisi	police	human	noun	poliisi	poliisi					poliisi	police			0	
1172	politiikka	politics	abstract_high	noun	politiikka						politiikka	politics			0	
1179	väestö	population	abstract_mid	noun	väestö						väestö	population			0	
1184	peruna	potato	vegetable	noun	peruna		potato	potato	POTATO_object	potato	peruna	potato			0	
1189	teho	power	abstract_high	noun	teho	teho					teho	power	valta	power	0	
1190	valta	power	abstract_high	noun	valta	valta					valta	reign	teho	reign	0	
1195	paine	pressure	abstract_mid	noun	paine	paine					paine	pressure			0	
1196	hinta	price	abstract_mid	noun	hinta	hinta					hinta	price			0	
1197	pappi	priest	human	noun	pappi	pappi					pappi	priest			0	
1198	prinsessa	princess	human	noun	prinsessa						prinsessa	princess			0	
1199	vanki	prisoner	human	noun	vanki	vanki					vanki	prisoner			0	
1200	ongelma	problem	abstract_high	noun	ongelma	ongelma					ongelma	problem			0	
1201	professori	professor	human	noun	professori					projector	professori	professor			0	
1203	ylennys	promotion	abstract_high	noun	ylennys						ylennys	promotion			0	
1210	kurpitsa	pumpkin	vegetable	noun	kurpitsa		pumpkin	pumpkin	PUMPKIN_object	pumpkin	kurpitsa	pumpkin			0	
1222	määrä	quantity	abstract_high	noun	määrä	määrä					määrä	quantity			0	
1226	kani	rabbit	animal	noun	kani		rabbit	rabbit	RABBIT_object	rabbit	kani	rabbit			0	
1238	harava	rake	tool	noun	harava		rake	rake	RAKE_object	rake	harava	rake	haravoida	RAKE_actionV	0	
