eng_name	fin_name	category	word_class
pram	lastenvaunu	vehicle	noun
prawn	katkarapu	waterlife	noun
projector	projektori	appliance	noun
prune	luumu	fruit	noun
pumpkin	kurpitsa	vegetable	noun
puppet	käsinukke	toy	noun
pyjamas	pyjama	clothing	noun
pyramid	pyramidi	place	noun
rabbit	kani	animal	noun
raccoon	pesukarhu	animal	noun
radio	radio	appliance	noun
radish	retiisi	vegetable	noun
raft	lautta	vehicle	noun
raisin	rusina	food	noun
rake	harava	tool	noun
range_rover	range rover	vehicle	noun
raspberry	vadelma	fruit	noun
rat	rotta	animal	noun
rattle	helistin	toy	noun
rattlesnake	kalkkarokäärme	animal	noun
raven	korppi	bird	noun
razor	partahöylä	tool	noun
recorder	nauhuri	appliance	noun
refrigerator	jääkaappi	appliance	noun
revolver	revolveri	weapon	noun
rhino	sarvikuono	animal	noun
rhubarb	raparperi	fruit	noun
rice	riisi	food	noun
rifle	kivääri	weapon	noun
ring	sormus	clothing	noun
robe	leninki	clothing	noun
robin	punarinta	bird	noun
rock	kallio	nature	noun
rocket	raketti	vehicle	noun
rocking_chair	keinutuoli	furniture	noun
rollerskate	rullaluistin	sport	noun
rolling_pin	kaulin	tool	noun
rolls_royce	rolls royce	vehicle	noun
rope	köysi	tool	noun
rose	ruusu	plant	noun
ruler	viivoitin	tool	noun
salmon	lohi	waterlife	noun
sandal	sandaali	clothing	noun
sandpaper	hiekkapaperi	tool	noun
sandwich	voileipä	food	noun
sardine	sardiini	waterlife	noun
satchel	olkalaukku	accessory	noun
satsuma	satsuma	fruit	noun
saw	saha	tool	noun
saxophone	saksofoni	instrument	noun
scallop	kampasimpukka	waterlife	noun
scalpel	skalpelli	tool	noun
scarf	huivi	clothing	noun
scissors	sakset	tool	noun
scorpion	skorpioni	insect	noun
screw	ruuvi	tool	noun
screwdriver	ruuvimeisseli	tool	noun
scythe	viikate	tool	noun
seagull	lokki	bird	noun
seahorse	merihevonen	waterlife	noun
seal	hylje	animal	noun
seashell	simpukankuori	artifact	noun
seaweed	merilevä	waterlife	noun
shark	hai	waterlife	noun
shawl	hartiahuivi	clothing	noun
sheep	lammas	animal	noun
shield	kilpi	weapon	noun
ship	laiva	vehicle	noun
shirt	paita	clothing	noun
shoe	kenkä	clothing	noun
shotgun	haulikko	weapon	noun
shovel	lapio	tool	noun
shrimp	katkarapu	waterlife	noun
sink	allas	furniture	noun
skateboard	skeittilauta	sport	noun
ski	suksi	sport	noun
skirt	hame	clothing	noun
skunk	haisunäätä	animal	noun
sledge	kelkka	vehicle	noun
