eng_name	fin_name	category	word_class
grenade	kranaatti	weapon	noun
groin	nivuset	bodypart	noun
ground	maanpinta	nature	noun
groundhog	metsämurmeli	animal	noun
group	ryhmä	abstract_mid	noun
guardrail	suojakaide	furniture	noun
guinea pig	marsu	animal	noun
guitar	kitara	instrument	noun
gum	kumi	material	noun
gun	ase	weapon	noun
guppy	miljoonakala	waterlife	noun
gym	kuntosali	place	noun
haddock	kolja	waterlife	noun
hair	hiukset	bodypart	noun
hall	halli	place	noun
ham	kinkku	food	noun
hamburger	hampurilainen	food	noun
hammer	vasara	tool	noun
hamster	hamsteri	animal	noun
hand	käsi	bodypart	noun
handbag	käsilaukku	accessory	noun
handkerchief	nenäliina	accessory	noun
handle	kahva	tool	noun
handrail	kaide	furniture	noun
harbour	satama	place	noun
hare	jänis	animal	noun
harmonica	huuliharppu	instrument	noun
harp	harppu	instrument	noun
harpoon	harppuuna	weapon	noun
harpsichord	cembalo	instrument	noun
hat	hattu	clothing	noun
hatchet	retkikirves	tool	noun
hawk	haukka	bird	noun
hay	heinä	plant	noun
head	pää	bodypart	noun
headlight	ajovalo	abstract_low	noun
heart	sydän	bodypart	noun
hedge	pensasaita	building	noun
hedgehog	siili	animal	noun
heel	kantapää	bodypart	noun
helicopter	helikopteri	vehicle	noun
helmet	kypärä	accessory	noun
hen	kana	bird	noun
herb	yrtti	plant	noun
heron	harmaahaikara	bird	noun
herring	silli	waterlife	noun
highway	valtatie	place	noun
hike	vaellus	abstract_mid	noun
hill	kukkula	nature	noun
hippo	virtahepo	animal	noun
history	historia	abstract_high	noun
hockey	jääkiekko	sport	noun
hoe	kuokka	tool	noun
hog	karju	animal	noun
hole	reikä	abstract_low	noun
home	koti	place	noun
honey	hunaja	food	noun
honeydew	hunajameloni	fruit	noun
honeymoon	kuherruskuukausi	abstract_high	noun
hood	huppu	clothing	noun
hook	koukku	tool	noun
horn	sarvi	bodypart	noun
hornet	herhiläinen	insect	noun
horse	hevonen	animal	noun
hospital	sairaala	building	noun
hotel	hotelli	building	noun
house	talo	place	noun
houseboat	asuntolaiva	vehicle	noun
housefly	huonekärpänen	insect	noun
human	ihminen	person	noun
hummingbird	kolibri	bird	noun
hunting	metsästys	abstract_mid	noun
husband	aviomies	person	noun
hut	maja	place	noun
hutch	pöytätaso	furniture	noun
hyacinth	hyasintti	plant	noun
hydrant	vesiposti	artifact	noun
hyena	hyeena	animal	noun
ibuprofen	ibuprofeeni	medicine	noun
ice	jää	material	noun
ice cream	jäätelö	food	noun
