id	fin_name	eng_name	category	word_class	aaltoprod	aalto85	cslb	mcrae	vinson	cmu	w2v_fin	w2v_eng	homonym_fin	homonym_eng	COMMENT
1677	valkotaulu	whiteboard	furniture	noun						whiteboard	valko#taulu	whiteboard			
1678	vaimo	wife	person	noun	vaimo					wife	vaimo	wife			
1679	peruukki	wig	accessory	noun						wig	peruukki	wig			
1682	tuuli	wind	nature	noun						wind	tuuli	wind			
1683	tuulimylly	windmill	place	noun						windmill	tuuli#mylly	windmill			
1684	ikkuna	window	furniture	noun	ikkuna		window			window	ikkuna	window			
1685	tuulilasi	windshield	artifact	noun						windshield	tuuli#lasi	windshield			
1686	viini	wine	drink	noun			wine			wine	viini	wine			noun & verb
1687	siipi	wing	bodypart	noun	siipi					wing	siipi	wing			noun & verb
1688	silmänisku	0	action	noun						wink	silmän#isku	wink			
1690	johto	0	appliance	noun						wire	metalli#lanka	wire			
1691	susi	wolf	animal	noun	susi	susi	wolf			wolf	susi	wolf			
1692	nainen	0	person	noun	nainen					woman	nainen	woman			
1693	kohtu	0	bodypart	noun						womb	kohtu	womb			
1694	polttopuu	0	material	noun						wood	poltto#puu	wood			
1696	villa	0	material	noun						wool	villa	wool			
