id	fin_name	eng_name	category	word_class	aaltoprod	aalto85	cslb	mcrae	vinson	cmu	w2v_fin	w2v_eng	homonym_fin	homonym_eng	COMMENT
942	pikkuhousut	panties	clothing	noun			knickers			panties	pikku#housu	panties			
943	paperi	paper	text	noun	paperi					paper	paperi	paper			
944	kulkue	parade	social	noun						parade	kulkue	parade			The most common parakeet
946	paketti	parcel	container	noun						parcel	paketti	parcel			
947	seurakunta	parish	social	noun	seurakunta						seura#kunta	parish			
948	puisto	park	place	noun	puisto	puisto				park	puisto	park			
949	anorakki	parka	clothing	noun			parka	parka			anorakki	parka			
950	papukaija	parrot	bird	noun						parrot	papukaija	parrot			
951	persilja	parsley	vegetable	noun			parsley	parsley			persilja	parsley			
952	peltopyy	partridge	bird	noun			partridge	partridge			pelto#pyy	partridge			
953	juhla	party	social	noun	juhla					party	juhla	party			
954	pasta	pasta	food	noun						pasta	pasta	pasta			
955	tahna	paste	material	noun						paste	tahna	paste			
956	potilas	patient	person	noun	potilas						potilas	patient			
957	pelinappula	pawn	toy	noun						pawn	peli#nappula	pawn			
958	herne	pea	vegetable	noun			peas	peas		pea	herne	pea			
959	persikka	peach	fruit	noun	persikka		peach	peach	PEACH_object	peach	persikka	peach			
960	riikinkukko	peacock	bird	noun			peacock	peacock		peacock	riikinkukko	peacock			
961	maapähkinä	peanut	fruit	noun			peanut			peanut	maa#pähkinä	peanut			
962	päärynä	pear	fruit	noun	päärynä		pear	pear	PEAR_object	pear	päärynä	pear			
963	helmi	pearl	accessory	noun				pearl		pearl	helmi	pearl			
964	poljin	pedal	tool	noun						pedal	poljin	pedal			kuorija not in corpus
966	tappi	peg	tool	noun			peg	peg			tappi	peg			
967	pelikaani	pelican	bird	noun			pelican	pelican			pelikaani	pelican			
968	kynä	pen	tool	noun			pen	pen	PEN_object	pen	kynä	pen			
969	lyijykynä	pencil	tool	noun			pencil	pencil	PENCIL_object	pencil	lyijy#kynä	pencil			
970	pingviini	penguin	bird	noun			penguin	penguin		penguin	pingviini	penguin			The colloquialism for the word
971	linkkuveitsi	penknife	weapon	noun			penknife				linkkari	penknife			
972	penisilliini	pennicillin	medicine	noun			pennicillin				penisilliini	penicillin			
973	penni	penny	artifact	noun						penny	penni	penny			
974	pippuri	pepper	food	noun				pepper	PEPPER_object	pepper	pippuri	pepper			
975	pepperoni	pepperoni	food	noun						pepperoni	pepperoni	pepperoni			
976	orsi	perch	artifact	noun				perch			orsi	perch			
977	hajuvesi	perfume	clothing	noun			perfume				haju#vesi	perfume			
978	henkilö	person	person	noun						person	henkilö	person			
979	lemmikki	pet	animal	noun						pet	lemmikki	pet			
980	fasaani	pheasant	bird	noun				pheasant			fasaani	pheasant			
981	ilmiö	phenomenon	abstract	noun	ilmiö	ilmiö					ilmiö	phenomenon			typo in the Finnish translation
982	filosofi	philosopher	person	noun	filosofi						filosofi	philosopher			
984	puhelinluettelo	phonebook	text	noun						phonebook	puhelin#luettelo	phonebook			
985	valokuva	photograph	text	noun						photograph	valo#kuva	photograph			
986	lääkäri	physician	person	noun	lääkäri	lääkäri					lääkäri	physician			
987	piano	piano	instrument	noun			piano	piano		piano	piano	piano			
988	suolakurkku	pickle	food	noun				pickle		pickle	suola#kurkku	pickle			
990	kuva	picture	text	noun	kuva						kuva	picture			
991	piirakka	pie	food	noun			pie	pie		pie	piirakka	pie			
992	laituri	pier	place	noun				pier			laituri	pier			
993	sika	pig	animal	noun	sika		pig	pig	PIG_object	pig	sika	pig			
994	pulu	pigeon	bird	noun			pigeon	pigeon		pigeon	pulu	pigeon			
995	pilleri	pill	medicine	noun						pill	pilleri	pill			
996	tyyny	pillow	furniture	noun			pillow	pillow		pillow	tyyny	pillow			
997	finni	pimple	medicine	noun						pimple	finni	pimple			
998	nasta	pin	tool	noun			pin	pin		pin	nasta	pin			typo in AaltoProd
999	ananas	pineapple	fruit	noun	ananas		pineapple	pineapple	PINEAPPLE_object	pineapple	ananas	pineapple			
1000	mänty	pine	plant	noun			pine	pine		pine	mänty	pine			
1001	tuoppi	pint	container	noun						pint	tuoppi	pint			
1002	putki	pipe	furniture	noun				pipe		pipe	putki		piippu		homonym
1003	piippu	pipe	artifact	noun			pipe_(smoking)	pipe_(smoking)			piippu	pipe	putki		homonym
1004	pistooli	pistol	weapon	noun			pistol	pistol			pistooli	pistol			
1005	kuoppa	pit	nature	noun						pit	kuoppa	pit			
1006	pitsa	pizza	food	noun						pizza	pitsa	pizza			ambiguous
1007	höylä	plane	tool	noun						plane	höylä	plane			
1008	planeetta	planet	nature	noun						planet	planeetta	planet			
1009	lankku	plank	material	noun						plank	lankku	plank			
1010	lautanen	plate	container	noun			plate	plate		plate	lautanen	plate			
1011	lava	platform	place	noun						platform	lava	platform			
1012	vati	platter	container	noun						platter	vati	platter			
1013	vesinokkaeläin	platypus	animal	noun			platypus	platypus			vesi#nokka#eläin	platypus			
1014	leikki	game	abstract	noun	leikki	leikki					leikki	game			
1015	näytelmä	play	social	noun	näytelmä	näytelmä					näytelmä	play			
1016	pelaaja	player	person	noun	pelaaja						pelaaja	player			
1017	leikkikenttä	playground	place	noun						playground	leikki#kenttä	playground			
